RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,SpecCodeType,SpecCode,SpecVal,Sex,TotalNo,CatIdentifier,NoMeas,SubFactor,SubWgt,CatCatchWgt,LngtCode,LngtClass,HLNoAtLngt,DevStage,LenMeasType,DateofCalculation,Valid_Aphia
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,42,2,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,46,2,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,13,16,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,14,12,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,15,8,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,16,6,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,17,4,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126484,1,NA,332,1,166,1,NA,10701,1,18,2,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,105814,1,M,6,1,3,1,NA,2880,1,49,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,105814,1,M,6,1,3,1,NA,2880,1,52,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,105814,1,M,6,1,3,1,NA,2880,1,53,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,105814,1,F,8,1,4,1,NA,200,1,16,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,105814,1,F,8,1,4,1,NA,200,1,17,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,105814,1,F,8,1,4,1,NA,200,1,22,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,105814,1,F,8,1,4,1,NA,200,1,23,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,127146,1,NA,6,1,3,1,NA,423,1,9,2,NA,NA,20210609,127146
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,127146,1,NA,6,1,3,1,NA,423,1,16,2,NA,NA,20210609,127146
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,127146,1,NA,6,1,3,1,NA,423,1,28,2,NA,NA,20210609,127146
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126439,1,NA,979.26,1,110,1,NA,36659,1,17,160.24,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126439,1,NA,979.26,1,110,1,NA,36659,1,18,382.8,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126439,1,NA,979.26,1,110,1,NA,36659,1,19,320.48,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126439,1,NA,979.26,1,110,1,NA,36659,1,20,89.02,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126439,1,NA,979.26,1,110,1,NA,36659,1,21,26.7,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126554,1,NA,4,1,2,1,NA,5171,1,42,2,NA,NA,20210609,126554
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,126554,1,NA,4,1,2,1,NA,5171,1,45,2,NA,NA,20210609,126554
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,141449,4,NA,2,1,1,1,NA,71,NA,NA,-9,NA,NA,20210609,141449
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,11725,2,NA,-9,1,NA,1,NA,231,NA,NA,-9,NA,NA,20210609,11725
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107109,1,M,912.73,1,100,1,NA,6380,.,12,9.12,NA,NA,20210609,107109
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107109,1,M,912.73,1,100,1,NA,6380,.,14,9.12,NA,NA,20210609,107109
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107109,1,M,912.73,1,100,1,NA,6380,.,20,36.5,NA,NA,20210609,107109
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107109,1,M,912.73,1,100,1,NA,6380,.,21,109.52,NA,NA,20210609,107109
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107109,1,M,912.73,1,100,1,NA,6380,.,22,146.03,NA,NA,20210609,107109
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107109,1,M,912.73,1,100,1,NA,6380,.,23,191.67,NA,NA,20210609,107109
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107109,1,M,912.73,1,100,1,NA,6380,.,24,310.32,NA,NA,20210609,107109
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107109,1,M,912.73,1,100,1,NA,6380,.,25,91.27,NA,NA,20210609,107109
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107109,1,M,912.73,1,100,1,NA,6380,.,27,9.12,NA,NA,20210609,107109
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107109,1,F,435.45,1,100,1,NA,2259,.,10,21.77,NA,NA,20210609,107109
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107109,1,F,435.45,1,100,1,NA,2259,.,11,39.19,NA,NA,20210609,107109
HL,PT-IBTS,4,PT,68NA,CAR,NA,R,P,56,53,2018,W,107109,1,F,435.45,1,100,1,NA,2259,.,12,87.09,NA,NA,20210609,107109
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,126484,1,NA,62,1,31,1,NA,9239,1,34,2,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,126484,1,NA,62,1,31,1,NA,9239,1,36,4,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,126484,1,NA,62,1,31,1,NA,9239,1,38,2,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,126484,1,NA,62,1,31,1,NA,9239,1,27,6,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,126484,1,NA,62,1,31,1,NA,9239,1,28,10,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,126484,1,NA,62,1,31,1,NA,9239,1,29,6,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,126484,1,NA,62,1,31,1,NA,9239,1,30,6,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,126484,1,NA,62,1,31,1,NA,9239,1,31,4,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,126484,1,NA,62,1,31,1,NA,9239,1,33,2,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,140271,1,NA,2,1,1,1,NA,8,1,4,2,NA,NA,20210609,140271
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,M,20,1,10,1,NA,6231,1,30,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,M,20,1,10,1,NA,6231,1,32,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,M,20,1,10,1,NA,6231,1,33,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,M,20,1,10,1,NA,6231,1,34,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,M,20,1,10,1,NA,6231,1,36,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,M,20,1,10,1,NA,6231,1,38,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,M,20,1,10,1,NA,6231,1,53,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,M,20,1,10,1,NA,6231,1,56,4,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,M,20,1,10,1,NA,6231,1,57,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,F,22,1,11,1,NA,4831,1,33,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,F,22,1,11,1,NA,4831,1,35,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,F,22,1,11,1,NA,4831,1,37,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,F,22,1,11,1,NA,4831,1,38,4,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,F,22,1,11,1,NA,4831,1,40,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,F,22,1,11,1,NA,4831,1,41,4,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,F,22,1,11,1,NA,4831,1,42,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,F,22,1,11,1,NA,4831,1,46,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,105814,1,F,22,1,11,1,NA,4831,1,48,2,NA,NA,20210609,105814
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,140621,1,NA,14,1,7,1,NA,800,1,11,2,NA,NA,20210609,140621
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,140621,1,NA,14,1,7,1,NA,800,1,12,4,NA,NA,20210609,140621
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,140621,1,NA,14,1,7,1,NA,800,1,13,4,NA,NA,20210609,140621
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,140621,1,NA,14,1,7,1,NA,800,1,14,4,NA,NA,20210609,140621
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,126986,1,NA,2,1,1,1,NA,167,1,19,2,NA,NA,20210609,126986
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,127023,1,NA,3561.14,1,113,1,NA,242000,1,20,189.08,NA,NA,20210609,127023
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,127023,1,NA,3561.14,1,113,1,NA,242000,1,21,1922.38,NA,NA,20210609,127023
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,127023,1,NA,3561.14,1,113,1,NA,242000,1,22,1292.09,NA,NA,20210609,127023
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,127023,1,NA,3561.14,1,113,1,NA,242000,1,23,126.05,NA,NA,20210609,127023
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,127023,1,NA,3561.14,1,113,1,NA,242000,1,31,31.51,NA,NA,20210609,127023
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,123867,4,NA,8,1,1,1,NA,96,NA,NA,-9,NA,NA,20210609,123867
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,124418,4,NA,16,1,2,1,NA,2895,NA,NA,-9,NA,NA,20210609,124418
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,127427,1,NA,6,1,3,1,NA,8208,1,35,2,NA,NA,20210609,127427
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,127427,1,NA,6,1,3,1,NA,8208,1,37,2,NA,NA,20210609,127427
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,127427,1,NA,6,1,3,1,NA,8208,1,51,2,NA,NA,20210609,127427
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,138138,4,NA,352,1,44,1,NA,864,NA,NA,-9,NA,NA,20210609,138138
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,274304,1,NA,2,1,1,1,NA,48,1,16,2,NA,NA,20210609,274304
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,140625,1,NA,2,1,1,1,NA,48,1,6,2,NA,NA,20210609,140625
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,107399,4,M,24,1,3,1,NA,256,NA,NA,-9,NA,NA,20210609,107399
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,3,8,2018,W,107399,4,F,40,1,5,1,NA,432,NA,NA,-9,NA,NA,20210609,107399
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126716,1,NA,4,1,2,1,NA,131,1,17,2,NA,NA,20210609,126716
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126716,1,NA,4,1,2,1,NA,131,1,18,2,NA,NA,20210609,126716
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,10,15.4,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,11,15.4,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,12,15.4,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,13,123.25,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,14,308.13,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,15,523.82,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,37,8,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,39,4,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,41,4,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,30,4,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,31,10,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,32,6,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,34,6,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,35,6,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,36,4,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,16,508.41,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,17,200.28,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,18,123.25,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,19,15.4,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,20,15.4,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126484,1,NA,1918.18,1,148,1,NA,68227,1,29,2,NA,NA,20210609,126484
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,140621,1,NA,346.85,1,100,1,NA,18729,1,10,3.46,NA,NA,20210609,140621
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,140621,1,NA,346.85,1,100,1,NA,18729,1,11,10.4,NA,NA,20210609,140621
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,140621,1,NA,346.85,1,100,1,NA,18729,1,12,83.24,NA,NA,20210609,140621
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,140621,1,NA,346.85,1,100,1,NA,18729,1,13,163.02,NA,NA,20210609,140621
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,140621,1,NA,346.85,1,100,1,NA,18729,1,14,69.37,NA,NA,20210609,140621
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,140621,1,NA,346.85,1,100,1,NA,18729,1,15,17.34,NA,NA,20210609,140621
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127126,1,NA,2,1,1,1,NA,12,1,10,2,NA,NA,20210609,127126
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,125131,4,NA,4,1,2,1,NA,6,NA,NA,-9,NA,NA,20210609,125131
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127259,1,NA,4,1,2,1,NA,527,1,23,2,NA,NA,20210609,127259
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127259,1,NA,4,1,2,1,NA,527,1,24,2,NA,NA,20210609,127259
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126445,1,NA,22,1,11,1,NA,2288,1,18,2,NA,NA,20210609,126445
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126445,1,NA,22,1,11,1,NA,2288,1,19,4,NA,NA,20210609,126445
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126445,1,NA,22,1,11,1,NA,2288,1,20,6,NA,NA,20210609,126445
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126445,1,NA,22,1,11,1,NA,2288,1,22,8,NA,NA,20210609,126445
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126445,1,NA,22,1,11,1,NA,2288,1,23,2,NA,NA,20210609,126445
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126439,1,NA,2547.46,1,220,1,NA,143259,1,16,11.57,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126439,1,NA,2547.46,1,220,1,NA,143259,1,17,34.73,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126439,1,NA,2547.46,1,220,1,NA,143259,1,18,277.9,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126439,1,NA,2547.46,1,220,1,NA,143259,1,19,706.34,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126439,1,NA,2547.46,1,220,1,NA,143259,1,20,486.33,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126439,1,NA,2547.46,1,220,1,NA,143259,1,21,104.21,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126439,1,NA,2547.46,1,220,1,NA,143259,1,22,208.42,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126439,1,NA,2547.46,1,220,1,NA,143259,1,23,382.11,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126439,1,NA,2547.46,1,220,1,NA,143259,1,24,231.58,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126439,1,NA,2547.46,1,220,1,NA,143259,1,25,92.63,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126439,1,NA,2547.46,1,220,1,NA,143259,1,26,11.57,NA,NA,20210609,126439
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127419,1,NA,2,1,1,1,NA,19,1,7,2,NA,NA,20210609,127419
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,107677,4,U,4,1,2,1,NA,6,NA,NA,-9,NA,NA,20210609,107677
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,106854,4,U,2,1,1,1,NA,4,NA,NA,-9,NA,NA,20210609,106854
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,140600,1,NA,2,1,1,1,NA,136,1,6,2,NA,NA,20210609,140600
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,126435,1,NA,2,1,1,1,NA,17,1,7,2,NA,NA,20210609,126435
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127251,1,NA,206,1,103,1,NA,11767,1,10,20,NA,NA,20210609,127251
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127251,1,NA,206,1,103,1,NA,11767,1,11,42,NA,NA,20210609,127251
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127251,1,NA,206,1,103,1,NA,11767,1,12,18,NA,NA,20210609,127251
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127251,1,NA,206,1,103,1,NA,11767,1,13,14,NA,NA,20210609,127251
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127251,1,NA,206,1,103,1,NA,11767,1,14,24,NA,NA,20210609,127251
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127251,1,NA,206,1,103,1,NA,11767,1,15,8,NA,NA,20210609,127251
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127251,1,NA,206,1,103,1,NA,11767,1,24,2,NA,NA,20210609,127251
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127251,1,NA,206,1,103,1,NA,11767,1,16,20,NA,NA,20210609,127251
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127251,1,NA,206,1,103,1,NA,11767,1,17,26,NA,NA,20210609,127251
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127251,1,NA,206,1,103,1,NA,11767,1,18,12,NA,NA,20210609,127251
HL,PT-IBTS,4,PT,68NA,NCT,NA,B,P,4,9,2018,W,127251,1,NA,206,1,103,1,NA,11767,1,19,10,NA,NA,20210609,127251
